"","rho","p.value","BH"
"Otu00558",0.60059134969134,0.000136456777969797,0.00402530265619745
"Otu00559",-0.698598162553683,3.05747357339045e-06,0.000249761381451473
"Otu00562",0.600296907220034,0.000137766226952451,0.00405369314897999
"Otu00565",0.680644845636121,6.82256544220367e-06,0.000436700264181382
"Otu00566",0.669249290647534,1.10400523848544e-05,0.000621515045463501
"Otu00568",0.684301957846606,5.81985488764755e-06,0.000385182067252436
"Otu00571",0.48632722885631,0.00305464093668754,0.0433833289992894
"Otu00573",0.60189262004688,0.000130802501867635,0.00392794196803799
"Otu00576",0.731300789860356,6.04106722010157e-07,8.20566589902517e-05
"Otu00579",0.669285370750085,1.10236002765021e-05,0.000621515045463501
"Otu00580",0.793603116208944,1.29374982275247e-08,6.86951752476498e-06
"Otu00586",-0.734420347505513,5.11282699205595e-07,7.1527531146948e-05
"Otu00589",0.649682377340229,2.40861988969492e-05,0.00112096785822595
"Otu00590",0.5363893371908,0.000895268165644474,0.0173003723357749
"Otu00591",0.645338981521939,2.84283024763416e-05,0.00127971181262961
"Otu00592",0.814358336214301,2.65798595506284e-09,2.95707266038729e-06
"Otu00594",0.506282340704859,0.00191470464794074,0.030555495006721
"Otu00596",0.703704700916573,2.4076116265008e-06,0.000211462520413301
"Otu00599",0.738382069403137,4.12283437604692e-07,6.25466100828468e-05
"Otu00600",0.513011819986695,0.00162519787922959,0.027043802031653
"Otu00602",-0.561554627234681,0.000448211574132884,0.010196267776501
"Otu00607",0.554036648262969,0.000554291802008591,0.0120129122173717
"Otu00608",0.567759358424664,0.000374689954667068,0.00887817587311026
"Otu00610",0.780560493059095,3.20056216087257e-08,1.17404440617888e-05
"Otu00612",0.686343673513947,5.32038302595905e-06,0.000360290169957917
"Otu00613",0.730716006204514,6.23139550839414e-07,8.41526550650938e-05
"Otu00616",0.529520858061213,0.00107143382908857,0.0197808903654907
"Otu00617",0.764813752963233,8.8357932719662e-08,2.24381128492333e-05
"Otu00620",0.531865472745779,0.00100813855887035,0.0189486252219533
"Otu00621",0.68542700334789,5.53958492330875e-06,0.000369775207323607
"Otu00622",0.660632080329109,1.56743174798927e-05,0.000817408659113243
"Otu00624",-0.593105184675357,0.000173460892066334,0.00488850038763059
"Otu00625",0.746093150424427,2.6818687210519e-07,4.72893923575086e-05
"Otu00626",0.809985219499992,3.7692556599989e-09,3.66921333268976e-06
