"","OTU","V1_rho","Domain","Phylum","Class","Order","Family","Genus"
"Otu00049","Otu00049",0.796105642006468,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"Otu00050","Otu00050",0.837991193116786,"Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","WX65","WX65_ge"
"Otu00058","Otu00058",0.733464240788872,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu00059","Otu00059",0.831547262176737,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu00067","Otu00067",0.832025810188534,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00069","Otu00069",0.815271503600561,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu00080","Otu00080",0.889900555025451,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00083","Otu00083",0.784058292857681,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured"
"Otu00095","Otu00095",0.733884644442362,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00096","Otu00096",0.744642114043019,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00100","Otu00100",0.740719996060851,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured"
"Otu00101","Otu00101",0.849817909514,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_unclassified"
"Otu00111","Otu00111",0.762818746670579,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00121","Otu00121",0.813117672732508,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured"
"Otu00131","Otu00131",0.73568405111657,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00132","Otu00132",0.710450985338944,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","uncultured"
"Otu00138","Otu00138",0.917244944507802,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00139","Otu00139",0.840711716945848,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00140","Otu00140",0.843174354959868,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00141","Otu00141",0.711123591937531,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmataceae_unclassified"
"Otu00144","Otu00144",0.828837765201645,"Bacteria","Chloroflexi","Gitt-GS-136","Gitt-GS-136_or","Gitt-GS-136_fa","Gitt-GS-136_ge"
"Otu00148","Otu00148",0.837633729432547,"Bacteria","Chloroflexi","Gitt-GS-136","Gitt-GS-136_or","Gitt-GS-136_fa","Gitt-GS-136_ge"
"Otu00149","Otu00149",0.759302232138009,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Otu00152","Otu00152",0.830693967107984,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_unclassified"
"Otu00155","Otu00155",0.799327479835638,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00165","Otu00165",0.760964057699428,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84_ge"
"Otu00170","Otu00170",0.797589292461561,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"Otu00172","Otu00172",0.752662674298249,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00181","Otu00181",0.724902306857427,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00188","Otu00188",0.70473665780039,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00189","Otu00189",0.791032596042965,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae_unclassified"
"Otu00196","Otu00196",0.713946017337408,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured"
"Otu00198","Otu00198",0.775558979817597,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00206","Otu00206",0.71413648933054,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Otu00213","Otu00213",0.780707165296354,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu00220","Otu00220",0.776797042144288,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00222","Otu00222",0.70168371958564,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Otu00225","Otu00225",0.815022549565931,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu00226","Otu00226",0.782694755381169,"Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00240","Otu00240",0.707904547793217,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured"
"Otu00243","Otu00243",0.742448885552919,"Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19_fa","PB19_ge"
"Otu00250","Otu00250",0.727349314285026,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"Otu00263","Otu00263",0.737182694566606,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"Otu00264","Otu00264",0.752418699616316,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Otu00269","Otu00269",0.746424296549026,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00274","Otu00274",0.759835188076541,"Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00276","Otu00276",0.832095509147984,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00278","Otu00278",0.722494921619986,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacteraceae_unclassified"
"Otu00282","Otu00282",0.708389025407675,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03"
"Otu00284","Otu00284",0.763366419057906,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00285","Otu00285",0.728650138594522,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu00289","Otu00289",0.756643599918748,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84_ge"
"Otu00296","Otu00296",0.766676129414582,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu00298","Otu00298",0.777427699343496,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu00306","Otu00306",0.722709620826765,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00308","Otu00308",0.821946768455043,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu00310","Otu00310",0.781237475386852,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00316","Otu00316",0.762272839485899,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"Otu00322","Otu00322",0.723234418553949,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","uncultured","uncultured_ge"
"Otu00358","Otu00358",0.731034097862441,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9_fa","RBG-13-54-9_ge"
"Otu00368","Otu00368",0.805721668853433,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"Otu00372","Otu00372",0.865554881951022,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00373","Otu00373",0.754502242559835,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00377","Otu00377",0.858525498044105,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00385","Otu00385",0.705735405895212,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24","R7C24_fa","R7C24_ge"
"Otu00401","Otu00401",0.758598172333916,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu00416","Otu00416",0.779903455490591,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"Otu00417","Otu00417",0.838637723328638,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00423","Otu00423",0.731670056511562,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu00431","Otu00431",0.721124405078938,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00436","Otu00436",0.703722167798243,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00456","Otu00456",0.730093220451979,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00458","Otu00458",0.753085162501207,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu00484","Otu00484",0.739338870380849,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"Otu00495","Otu00495",0.732043686081076,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00496","Otu00496",0.735071298015676,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio"
"Otu00511","Otu00511",0.806786822757763,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00513","Otu00513",0.766221099471514,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu00521","Otu00521",0.7267895647823,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacteraceae_unclassified"
"Otu00526","Otu00526",0.798934961756317,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_unclassified"
"Otu00576","Otu00576",0.832387421280854,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41_ge"
"Otu00580","Otu00580",0.858567444851932,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00589","Otu00589",0.705975081167677,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00592","Otu00592",0.849411639253828,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00596","Otu00596",0.741162666455792,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula"
"Otu00610","Otu00610",0.760222438882353,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"Otu00612","Otu00612",0.74467236977172,"Bacteria","Acidobacteriota","Blastocatellia","DS-100","DS-100_fa","DS-100_ge"
"Otu00613","Otu00613",0.834923682329266,"Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","IMCC26256_fa","IMCC26256_ge"
"Otu00617","Otu00617",0.721527711817942,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"Otu00625","Otu00625",0.819539103988657,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3"
"Otu00626","Otu00626",0.757397882707663,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Otu00631","Otu00631",0.761945263238451,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7_fa","Subgroup_7_ge"
"Otu00641","Otu00641",0.843568764432045,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_fa","SBR1031_ge"
"Otu00642","Otu00642",0.715816084281805,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellales_unclassified","Gaiellales_unclassified"
"Otu00644","Otu00644",0.752140045309724,"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20_fa","0319-6G20_ge"
"Otu00648","Otu00648",0.768800191591471,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","uncultured","uncultured_ge"
"Otu00649","Otu00649",0.83645331907724,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu00656","Otu00656",0.764839212598118,"Bacteria","Planctomycetota","Planctomycetota_unclassified","Planctomycetota_unclassified","Planctomycetota_unclassified","Planctomycetota_unclassified"
"Otu00661","Otu00661",0.769505804328074,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu00662","Otu00662",0.71870475587328,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00665","Otu00665",0.706476049771175,"Bacteria","Chloroflexi","Gitt-GS-136","Gitt-GS-136_or","Gitt-GS-136_fa","Gitt-GS-136_ge"
"Otu00676","Otu00676",0.791921750909551,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu00691","Otu00691",0.731609169141856,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"Otu00704","Otu00704",0.731032825544247,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter"
"Otu00708","Otu00708",0.752986811742035,"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","uncultured"
"Otu00711","Otu00711",0.715279957924025,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00732","Otu00732",0.732053843826358,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"Otu00736","Otu00736",0.714116053467284,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu00737","Otu00737",0.774885883152362,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales_unclassified","Microtrichales_unclassified"
"Otu00751","Otu00751",0.717713068885246,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified"
"Otu00764","Otu00764",0.713174542035316,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00768","Otu00768",0.908505822929866,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00786","Otu00786",0.799355896931109,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00792","Otu00792",0.712151708289461,"Bacteria","Armatimonadota","uncultured","uncultured_or","uncultured_fa","uncultured_ge"
"Otu00817","Otu00817",0.837183429792359,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured"
"Otu00821","Otu00821",0.759794782911612,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified"
"Otu00845","Otu00845",0.80839937521952,"Bacteria","FCPU426","FCPU426_cl","FCPU426_or","FCPU426_fa","FCPU426_ge"
"Otu00847","Otu00847",0.75286792991989,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu00860","Otu00860",0.728511788365867,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu00867","Otu00867",0.815599438826566,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00892","Otu00892",0.743418436120794,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium"
"Otu00903","Otu00903",0.711740548943413,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00912","Otu00912",0.708330764095861,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00916","Otu00916",0.869362773347463,"Bacteria","Actinobacteriota","Thermoleophilia","Thermoleophilia_unclassified","Thermoleophilia_unclassified","Thermoleophilia_unclassified"
"Otu00932","Otu00932",0.7257815935073,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"Otu00934","Otu00934",0.79988881530329,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00938","Otu00938",0.705400682137868,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu00943","Otu00943",0.707047808591845,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"Otu00944","Otu00944",0.810418401984689,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"Otu00948","Otu00948",0.705002431897437,"Bacteria","Actinobacteriota","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified"
"Otu00954","Otu00954",0.775771131119271,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Otu00960","Otu00960",0.760612946588421,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"Otu00970","Otu00970",0.74244152016364,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","TRA3-20_ge"
"Otu00971","Otu00971",0.771705184989932,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00979","Otu00979",0.729093212151853,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"Otu00981","Otu00981",0.724747712349453,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu01002","Otu01002",0.853856860743858,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3"
"Otu01014","Otu01014",0.836511270609148,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu01017","Otu01017",0.744201015238295,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu01035","Otu01035",0.793846156761596,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured"
"Otu01036","Otu01036",0.732607555465188,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu01041","Otu01041",0.719724184627044,"Bacteria","Latescibacterota","Latescibacterota_cl","Latescibacterota_or","Latescibacterota_fa","Latescibacterota_ge"
"Otu01042","Otu01042",0.824349726345784,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured"
"Otu01063","Otu01063",0.84304022495258,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu01082","Otu01082",0.731906108765042,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionales_unclassified","Micavibrionales_unclassified"
"Otu01090","Otu01090",0.746055932179933,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu01091","Otu01091",0.742088920240251,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"Otu01095","Otu01095",0.822278588669505,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41_ge"
"Otu01099","Otu01099",0.737325865651987,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu01104","Otu01104",0.756250660210934,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722","AKYG1722_ge"
"Otu01118","Otu01118",0.760836358910201,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured"
"Otu01119","Otu01119",0.712432746848375,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales_unclassified","Microtrichales_unclassified"
"Otu01165","Otu01165",0.717807766912577,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium"
"Otu01167","Otu01167",0.78251148101692,"Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu01181","Otu01181",0.750307358636531,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu01194","Otu01194",0.765823155265096,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41_ge"
"Otu01198","Otu01198",0.788460744332482,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_unclassified"
"Otu01217","Otu01217",0.814808549722868,"Bacteria","Actinobacteriota","MB-A2-108","MB-A2-108_or","MB-A2-108_fa","MB-A2-108_ge"
"Otu01251","Otu01251",0.727827743853265,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41_ge"
"Otu01257","Otu01257",0.801489888711634,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula"
"Otu01274","Otu01274",0.705368515804381,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"Otu01279","Otu01279",0.799131717906306,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineae_unclassified","Anaerolineae_unclassified","Anaerolineae_unclassified"
"Otu01284","Otu01284",0.725759529814765,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineae_unclassified","Anaerolineae_unclassified","Anaerolineae_unclassified"
"Otu01293","Otu01293",0.823844536212777,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea"
"Otu01309","Otu01309",0.747703304131006,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu01310","Otu01310",0.783595748794016,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu01326","Otu01326",0.750551237571111,"Bacteria","Armatimonadota","uncultured","uncultured_or","uncultured_fa","uncultured_ge"
"Otu01330","Otu01330",0.778432970422116,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmataceae_unclassified"
"Otu01348","Otu01348",0.770947385602723,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9_fa","RBG-13-54-9_ge"
"Otu01368","Otu01368",0.730404592491785,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","env.OPS_17_ge"
"Otu01374","Otu01374",0.758127356574417,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
