"","Dim1","Dim2","Dim3","OTU","Domain","Phylum","Class","Order","Family","Genus"
"Otu01876",-0.795097319537678,-0.137277404955099,-0.0981774946086198,"Otu01876","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu01906",0.766349312036333,-0.0676895142503184,0.0878596564642134,"Otu01906","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu01979",0.748009623053069,-0.0575882268742644,0.0478541502675877,"Otu01979","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae_ge"
"Otu02001",0.716961870548329,0.0557154466389296,0.00340708256547814,"Otu02001","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured"
"Otu02037",-0.402136718124486,-0.702132055780998,-0.153831623239455,"Otu02037","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas"
"Otu02039",0.745166430061554,-0.0147535370897693,-0.0346002222857441,"Otu02039","Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group_or","BD2-11_terrestrial_group_fa","BD2-11_terrestrial_group_ge"
"Otu02113",0.70110344854558,0.0312972443615701,0.0870852933757084,"Otu02113","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured"
"Otu02122",0.722569373708574,-0.0992216942762546,0.0873688959221175,"Otu02122","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu02130",-0.718303838961816,-0.518110248928143,-0.0463017426818235,"Otu02130","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu02214",0.71684773573503,-0.0304580521926092,0.0904553424829043,"Otu02214","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmataceae_unclassified"
"Otu02225",-0.324779752074177,-0.706603242303905,-0.230898161660735,"Otu02225","Bacteria","Armatimonadota","uncultured","uncultured_or","uncultured_fa","uncultured_ge"
"Otu02340",0.720151229230554,0.109001738857033,-0.0500462962916926,"Otu02340","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"Otu02451",-0.75338305620743,0.386447038994722,-0.157215009456409,"Otu02451","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"Otu02510",0.733111505771285,0.179417561360306,-0.0552043147544035,"Otu02510","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","WCHB1-41_fa","WCHB1-41_ge"
"Otu02622",0.724020794824861,-0.228730879673322,0.0805119753944816,"Otu02622","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales_unclassified","Vicinamibacterales_unclassified"
"Otu02734",0.728247300310769,-0.0519330714987998,0.140475165564532,"Otu02734","Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_fa","SBR1031_ge"
"Otu02759",0.707463537101962,-0.119445617253897,0.0823199935326398,"Otu02759","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41_ge"
"Otu02891",0.718630418162824,-0.0502743266269923,0.0837430890688129,"Otu02891","Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24_fa","11-24_ge"
"Otu03062",0.702327590163033,-0.132825391097594,0.163424302954507,"Otu03062","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"Otu03119",0.700430535079086,-0.0911723927015469,0.0771797782659213,"Otu03119","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae_ge"
"Otu03141",0.737652957935226,-0.0236331370482403,0.0718032707980279,"Otu03141","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu03293",0.746732246583063,-0.0847868123329037,0.13540182138117,"Otu03293","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu03347",-0.706903641205258,-0.152297358281475,0.317095799608602,"Otu03347","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"Otu03351",0.722166136343297,0.0215925206230625,0.0825425431859651,"Otu03351","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu03455",-0.731822709346211,-0.088712389760529,0.415755051470887,"Otu03455","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"Otu03512",-0.800378452979395,0.218172903601268,0.0127024015234189,"Otu03512","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu03755",-0.911098850447447,0.0847064554071633,0.238120602640128,"Otu03755","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge"
"Otu03887",0.812531424370835,-0.0686345721781131,0.159529489597617,"Otu03887","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae_ge"
"Otu04025",-0.788479648629055,-0.058721219816708,0.183550360060081,"Otu04025","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula"
"Otu04190",-0.789919527658503,-0.139260966110295,0.110286971820599,"Otu04190","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"Otu04576",-0.724973367287355,-0.528694526799381,0.0560192524855752,"Otu04576","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","uncultured"
"Otu04839",-0.775483411663651,0.058732919387383,0.458781307040411,"Otu04839","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Otu04941",-0.490583800532971,-0.732328904517693,-0.36548993744045,"Otu04941","Bacteria","Armatimonadota","Armatimonadia","Armatimonadales","Armatimonadales_unclassified","Armatimonadales_unclassified"
"Otu10929",-0.776673150762664,0.0802537198638014,0.416643040680692,"Otu10929","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonadaceae_unclassified"
"Otu15425",-0.389418365271144,-0.716241953046244,-0.225389810525624,"Otu15425","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
