Linux version

Using ReadLine,Boost,HDF5,GSL
mothur v.1.48.1
Last updated: 5/15/24
by
Patrick D. Schloss

Department of Microbiology & Immunology

University of Michigan
http://www.mothur.org

When using, please cite:
Schloss, P.D., et al., Introducing mothur: Open-source, platform-independent, community-supported software for describing and comparing microbial communities. Appl Environ Microbiol, 2009. 75(23):7537-41.

Distributed under the GNU General Public License

Type 'help()' for information on the commands that are available

For questions and analysis support, please visit our forum at https://forum.mothur.org

Type 'quit()' to exit program

[NOTE]: Setting random seed to 19760620.

Batch Mode



mothur > dist.seqs(fasta = RTLC.final.fasta, output = lt)

Using 128 processors.

Sequence	Time	Num_Dists_Below_Cutoff
236100	4009	7082565
3800	4082	7221900
425600	4111	7235064
232800	4212	7449104
3900	4298	7606950
176000	4381	7743054
118100	4411	7792455
219100	4458	7886970
4000	4521	8002000
391500	4665	8221290
434600	4680	8257229
4100	4748	8407050
78800	4937	8740695
4200	4984	8822100
55800	5008	8859639
4300	5241	9247150
192800	5466	9638775
4400	5497	9682200
124500	5720	10081260
39600	5737	10104960
4500	5752	10127250
364900	5824	10216822
410800	5850	10269700
184600	5869	10336060
304800	5890	10362639
68300	5923	10438272
4600	6005	10582300
88100	6133	10828797
104200	6143	10831444
4700	6270	11047350
4800	6542	11522400
204500	6616	11654904
336200	6698	11766405
4900	6828	12007450
96500	6906	12151125
314800	6992	12276459
167000	7028	12355299
162300	7100	12494174
5000	7121	12502500
147300	7124	12516930
111400	7363	12915730
403200	7390	12901904
5100	7421	13007550
266900	7462	13076924
381500	7641	13351905
5200	7723	13522600
397400	7732	13511039
338500	7946	13877680
5300	8029	14047650
39700	8030	14070010
130600	8051	14099022
136400	8181	14316540
55900	8249	14444689
5400	8343	14582700
373300	8348	14557959
196800	8428	14757225
242600	8457	14796770
248900	8527	14932230
5500	8663	15127750
297100	8669	15150825
322100	8680	15137619
333900	8817	15358365
5600	8987	15682800
200700	9077	15852219
5700	9315	16247850
345300	9510	16573272
78900	9514	16625745
5800	9648	16822900
324500	9687	16872674
171600	9699	16983549
423800	9751	16951220
299700	9795	17081304
264000	9820	17157920
269800	9884	17265184
68400	9891	17273322
252000	9947	17385654
5900	9986	17407950
358500	10105	17565324
239400	10154	17712899
180400	10229	17854749
152500	10295	17988097
436400	10307	17891580
6000	10329	18003000
39800	10338	18045060
226100	10355	18084840
286500	10513	18333984
229500	10647	18586260
6100	10677	18608050
412700	10703	18570510
157500	10818	18892860
319700	10839	18860589
6200	11032	19223100
393500	11096	19280324
118200	11238	19607505
88200	11242	19643847
142000	11372	19870270
6300	11390	19848150
294500	11473	20023722
56000	11483	20039739
188800	11681	20384622
362800	11694	20315260
6400	11770	20483200
340800	11992	20786970
6500	12191	21128250
104300	12259	21256494
215600	12304	21339549
289200	12354	21398099
96600	12606	21806175
6600	12618	21783300
39900	12755	22030110
208300	12784	22074235
245800	12808	22117995
283800	13010	22417119
6700	13049	22448350
124600	13078	22536310
401300	13356	22872504
441700	13464	22967074
418300	13467	23005015
6800	13485	23123400
275500	13651	23413930
6900	13931	23808450
331600	13990	23872644
111500	14069	24060780
68500	14100	24118372
79000	14354	24520795
278300	14367	24486572
7000	14379	24503500
326900	14391	24514725
258100	14685	25031044
7100	14835	25208550
176100	14887	25348104
212000	15080	25644740
56100	15086	25644789
302300	15152	25691930
7200	15297	25923600
40000	15334	26025160
379500	15506	26183154
7300	15763	26648650
375400	15830	26650915
130700	16087	27164072
147400	16112	27251980
7400	16235	27383700
136500	16595	27961590
7500	16720	28128750
88300	16892	28468897
317300	17017	28552995
162400	17069	28729224
184700	17136	28801110
7600	17211	28883800
192900	17221	28923825
167100	17294	29060349
222700	17342	29165185
255100	17464	29329945
7700	17705	29648850
422000	17715	29537585
272700	17729	29718414
261100	17743	29758959
219200	17773	29802020
309900	17778	29745840
40100	17921	30030210
414600	18172	30263172
7800	18206	30423900
352000	18352	30620259
236200	18360	30697615
232900	18383	30734154
68600	18525	30973422
56200	18699	31259839
7900	18704	31208950
438200	18726	31109715
118300	18813	31432555
96700	18834	31471225
104400	18976	31691544
291900	19058	31811214
8000	19179	32004000
204600	19219	32109954
307400	19345	32271540
79100	19383	32425845
349800	19525	32527122
8100	19647	32809050
152600	19853	33243147
343100	19951	33276044
354200	19963	33290429
8200	20122	33624100
281100	20158	33724860
312400	20195	33733422
142100	20334	34075320
40200	20335	34045260
171700	20353	34148599
395500	20403	34009345
196900	20566	34442275
8300	20602	34449150
157600	20684	34647910
360700	20704	34622640
124700	20891	35001360
111600	21012	35215830
8400	21088	35284200
180500	21418	35899799
200800	21432	35927269
8500	21581	36129250
399400	21776	36341305
56300	21986	36884889
387600	22047	36817535
8600	22079	36984300
88400	22214	37303947
68700	22539	37838472
8700	22584	37849350
385600	22627	37784047
329300	22635	37862945
40300	22680	38070310
8800	23093	38724400
242700	23258	39061820
188900	23390	39269672
347600	23448	39272472
8900	23608	39609450
249000	23672	39827280
267000	23682	39771974
130800	23970	40239122
79200	23994	40340895
389600	24016	40123547
9000	24132	40504500
226200	24198	40699890
369200	24243	40606005
304900	24340	40847689
429300	24401	40779035
356400	24453	40979445
96800	24469	41146275
9100	24658	41409550
229600	24695	41541310
431100	24732	41381040
367100	24766	41475972
136600	24775	41616640
239500	24781	41657949
147500	24957	41997030
40400	25032	42105360
104500	25060	42136594
9200	25191	42324600
56400	25269	42519939
252100	25297	42590704
383600	25418	42573495
215700	25498	42904599
208400	25502	42909285
176200	25526	42963154
118400	25710	43267605
9300	25729	43249650
264100	25900	43562970
377500	25903	43405945
427500	26056	43599849
314900	26056	43761509
9400	26288	44184700
269900	26293	44250234
371300	26362	44177679
68800	26559	44713522
432900	26633	44583447
297200	26706	44865875
162500	26716	44974274
9500	26841	45129750
407100	26943	45181995
336300	27043	45391455
167200	27185	45775399
443500	27321	45675247
420200	27346	45795914
416500	27348	45809005
88500	27379	46148997
9600	27396	46084800
40500	27405	46150410
111700	27535	46380880
409000	27601	46210672
245900	27732	46703045
212100	27807	46849790
365000	27844	46711872
286600	27932	46989034
9700	27959	47049850
299800	27971	47056354
184800	28068	47276160
124800	28177	47476410
322200	28192	47352669
391600	28252	47376340
405200	28274	47401614
440000	28381	47514222
